Địa chỉ,Phường/Xã/Thị trấn,Quận/Huyện,Diện tích (m²),Mức giá (tỷ),Giá tiền (triệu/m²),Mặt tiền(m),Đường vào(m),Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất
"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",Phường Minh Khai,Hai Bà Trưng,35,6.95,198.57,,,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Phường Phú Đô, Nam Từ Liêm, Hà Nội",Phường Phú Đô,Nam Từ Liêm,40,8,200,4,,,,5,,,Chưa sổ,
"Đường Cầu Bươu, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",Xã Tả Thanh Oai,Thanh Trì,52,6.5,125,,,,,1,,,Đã có sổ đỏ,
"Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",Phường Mỹ Đình 1,Nam Từ Liêm,12,23.6,188.8,,,,,7,1,,Đã có sổ đỏ,Đầy đủ
"Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội",Phường Đội Cấn,Ba Đình,30,5.85,195,,,,,5,3,3,Đã có sổ đỏ,
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",Phường Ngọc Thụy,Long Biên,75,18.5,246.67,5,7,,,6,5,6,Đã có sổ đỏ,Đầy đủ.
"Đường Đội Cấn, Phường Liễu Giai, Ba Đình, Hà Nội",Phường Liễu Giai,Ba Đình,20,5.8,290,,,,,,,,Chưa sổ,
"Đường Lê Quang Đạo, Phường Phú Đô, Nam Từ Liêm, Hà Nội",Phường Phú Đô,Nam Từ Liêm,45,,,5,,,Đông,4,3,3,Đã có sổ đỏ,Đầy đủ
"Đường Nguyễn Đức Thuận, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội",Thị trấn Trâu Quỳ,Gia Lâm,60,4.8,79.47,3.9,5,,,1,,,Đã có sổ đỏ,
"Phường Văn Quán, Hà Đông, Hà Nội",Phường Văn Quán,Hà Đông,38,6.9,181.58,,,,,5,3,,Đã có sổ đỏ,
"Đường Yên Lộ, Phường Yên Nghĩa, Hà Đông, Hà Nội",Phường Yên Nghĩa,Hà Đông,35,4.5,128.57,,,,,6,6,,Đã có sổ đỏ,
"Phường Ngọc Thụy, Long Biên, Hà Nội",Phường Ngọc Thụy,Long Biên,43,5.8,134.88,4.5,3,,,4,4,,Đã có sổ đỏ,
"Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",Phường Trung Hòa,Cầu Giấy,60,16.2,270,,,,,6,,,Đã có sổ đỏ,
"Đường Nguyễn Văn Trỗi, Phường Phương Liệt, Thanh Xuân, Hà Nội",Phường Phương Liệt,Thanh Xuân,11,17.8,150.85,,,,,,,,Đã có sổ đỏ,Đầy đủ
"Đường Bắc Cầu 3, Phường Ngọc Thụy, Long Biên, Hà Nội",Phường Ngọc Thụy,Long Biên,32,3.16,98.75,4.2,,,,,,,Đã có sổ đỏ,
"Đường Ao Sen, Phường Mỗ Lao, Hà Đông, Hà Nội",Phường Mỗ Lao,Hà Đông,70,14.5,207.14,4,12,,,4,4,4,Đã có sổ đỏ,Đầy đủ
"Đường Hoàng Hoa Thám, Phường Ngọc Hà, Ba Đình, Hà Nội",Phường Ngọc Hà,Ba Đình,37,5.45,146.9,,,Bắc,,,,,Đã có sổ đỏ,
"Đường Vương Thừa Vũ, Phường Khương Mai, Thanh Xuân, Hà Nội",Phường Khương Mai,Thanh Xuân,88,16.5,187.5,,,,,4,5,5,Đã có sổ đỏ,Đầy đủ
"Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội",Phường Khương Mai,Thanh Xuân,61,13.5,221.31,,,,,4,4,4,Đã có sổ đỏ,Đầy đủ
"Phố Hạ Đình, Phường Hạ Đình, Thanh Xuân, Hà Nội",Phường Hạ Đình,Thanh Xuân,29,3.9,134.48,,,,,4,3,3,Đã có sổ đỏ,Đầy đủ
"Đường Chiến Thắng, Phường Văn Quán, Hà Đông, Hà Nội",Phường Văn Quán,Hà Đông,33,5.5,166.67,,6,,,4,4,4,Đã có sổ đỏ,Đầy đủ
"Phố Khâm Thiên, Phường Khâm Thiên, Đống Đa, Hà Nội",Phường Khâm Thiên,Đống Đa,10,25,248.51,4,,,,3,,,Đã có sổ đỏ,
"Đường Lương Ngọc Quyến, Phường Văn Quán, Hà Đông, Hà Nội",Phường Văn Quán,Hà Đông,48,7.75,161.46,,,,,4,4,4,Đã có sổ đỏ,Đầy đủ
"Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội",Phường Dương Nội,Hà Đông,51,12,235.29,,18,,,6,4,4,Đã có sổ đỏ,Đầy đủ
"Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội",Phường Dương Nội,Hà Đông,51,12,235.29,,18,,,6,4,4,Đã có sổ đỏ,Đầy đủ
"228, Đường Tam Trinh, Phường Yên Sở, Hoàng Mai, Hà Nội",Phường Yên Sở,Hoàng Mai,30,4.89,163,3.5,2,,,4,3,3,Đã có sổ đỏ,
"Đường Mễ Trì Thượng, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",Phường Mễ Trì,Nam Từ Liêm,50,11.6,232,5.3,,,,5,4,2,Đã có sổ đỏ,
"Ngõ 80, Đường Xuân Phương, Phường Phương Canh, Nam Từ Liêm, Hà Nội.",Phường Phương Canh,Nam Từ Liêm,62,7.5,120.97,,,,,4,,,Đã có sổ đỏ,Đầy đủ
"Đường Hoàng Như Tiếp, Phường Bồ Đề, Long Biên, Hà Nội",Phường Bồ Đề,Long Biên,60,15,250,,,,,7,,,Chưa sổ,
"Đường Dương Văn Bé, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Phường Vĩnh Tuy,Hai Bà Trưng,45,7.5,166.67,5,,,,6,4,4,Đã có sổ đỏ,Cơ bản
"Đường Phúc Lợi, Phường Phúc Lợi, Long Biên, Hà Nội",Phường Phúc Lợi,Long Biên,43,3.95,91.86,,2.5,,,5,3,3,Đã có sổ đỏ,
"Đường Đại Mỗ, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",Phường Đại Mỗ,Nam Từ Liêm,39,6.9,176.92,,,,,6,4,5,Đã có sổ đỏ,Đầy đủ
"Phố Lý Thường Kiệt, Phường Hàng Bài, Hoàn Kiếm, Hà Nội",Phường Hàng Bài,Hoàn Kiếm,95,61,642.1,,,,,,,,Đã có sổ đỏ,
"Đường Vương Thừa Vũ, Phường Khương Mai, Thanh Xuân, Hà Nội",Phường Khương Mai,Thanh Xuân,90,21,233.33,4.43,5,Nam,,4,4,4,Đã có sổ đỏ,Đầy đủ
"Đường Khương Trung, Phường Khương Trung, Thanh Xuân, Hà Nội",Phường Khương Trung,Thanh Xuân,40,5,125,4,2,,,3,4,3,Đã có sổ đỏ,Đầy đủ
"Đường Giải Phóng, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",Phường Hoàng Liệt,Hoàng Mai,40,6.75,168.75,,,,,4,4,3,Đã có sổ đỏ,Đầy đủ.
"Đường Kiên Thành, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội",Thị trấn Trâu Quỳ,Gia Lâm,13,10.5,78.59,7.7,3.5,,,3,8,,Đã có sổ đỏ,Đầy đủ
"Phường Khâm Thiên, Đống Đa, Hà Nội",Phường Khâm Thiên,Đống Đa,20,3.7,185,,,,,4,3,3,Đã có sổ đỏ,
"Đường Tứ Liên, Phường Tứ Liên, Tây Hồ, Hà Nội",Phường Tứ Liên,Tây Hồ,52,18.35,352.88,4.5,,,,6,5,6,Đã có sổ đỏ,
"Đường Phúc Lợi, Phường Phúc Lợi, Long Biên, Hà Nội",Phường Phúc Lợi,Long Biên,63,5.7,90.48,,3,,,,,,Đã có sổ đỏ,
"Xã Hồng Vân, Thường Tín, Hà Nội",Xã Hồng Vân,Thường Tín,60,6,,,,,,3,,,Đã có sổ đỏ,
"Đường Hòa Bình, Phường Yên Nghĩa, Hà Đông, Hà Nội",Phường Yên Nghĩa,Hà Đông,34,3.6,105.88,4.3,,,,4,4,3,Đã có sổ đỏ,Đầy đủ
"Đường Hồ Đắc Di, Phường Quang Trung, Đống Đa, Hà Nội",Phường Quang Trung,Đống Đa,39,7.2,182.28,5,3.5,,,5,3,4,Đã có sổ đỏ,Cơ bản
"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",Phường Mỹ Đình 2,Nam Từ Liêm,55,12.2,221.82,,,,,7,,,Đã có sổ đỏ,Đầy đủ
"Phố Phạm Tuấn Tài, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Phường Dịch Vọng Hậu,Cầu Giấy,68,19.5,286.76,5.5,,,,,,,Đã có sổ đỏ,
"Phố Lê Thanh Nghị, Phường Bách Khoa, Hai Bà Trưng, Hà Nội",Phường Bách Khoa,Hai Bà Trưng,40,7.8,195,3.6,3,,,5,4,3,Đã có sổ đỏ,Đầy đủ
"Đường Cổ Điển, Xã Tứ Hiệp, Thanh Trì, Hà Nội",Xã Tứ Hiệp,Thanh Trì,36,7.2,200,3.9,6,,,6,4,4,Đã có sổ đỏ,Cơ bản
"Đường Nguyễn Trãi, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",Phường Thanh Xuân Trung,Thanh Xuân,42,8.5,202.38,3.8,4,,,6,4,5,Đã có sổ đỏ,Đầy đủ
"Phố Trung Hòa, Phường Yên Hòa, Cầu Giấy, Hà Nội",Phường Yên Hòa,Cầu Giấy,67,16.3,243.28,45,,,,5,5,5,Đã có sổ đỏ,Đầy đủ
"Đường Tây Tựu, Phường Tây Tựu, Bắc Từ Liêm, Hà Nội",Phường Tây Tựu,Bắc Từ Liêm,40,3.16,79,,,,,1,2,2,Đã có sổ đỏ,
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",Phường Trung Liệt,Đống Đa,13,53.5,399.25,7.5,,,,9,8,1,Đã có sổ đỏ,
"đường Liên Mạc, Phường Liên Mạc, Bắc Từ Liêm, Hà Nội",Phường Liên Mạc,Bắc Từ Liêm,45,5.6,124.44,,2.5,,,5,,,Đã có sổ đỏ,
"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",Phường Mỹ Đình 2,Nam Từ Liêm,50,,,,,,,,,,Đã có sổ đỏ,
"Ngõ 165, Phố Chùa Bộc, Phường Quang Trung, Đống Đa, Hà Nội",Phường Quang Trung,Đống Đa,45,12,266.67,3.4,8,Tây - Nam,,4,4,4,Đã có sổ đỏ,Cơ bản
"Đường Hoa Thám, Xã La Phù, Hoài Đức, Hà Nội",Xã La Phù,Hoài Đức,30,3.98,132.67,3.8,5,,,5,3,2,Đã có sổ đỏ,Đầy đủ
"Đường Kiên Thành, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội",Thị trấn Trâu Quỳ,Gia Lâm,11,12.6,114.54,4.2,8,,,1,,,Đã có sổ đỏ,
"Đường Biên Giang, Phường Biên Giang, Hà Đông, Hà Nội",Phường Biên Giang,Hà Đông,64,3.3,51.56,4.6,2.5,Nam,Nam,,,,Đã có sổ đỏ,Không nội thất
"Phố Tôn Đức Thắng, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",Phường Ô Chợ Dừa,Đống Đa,33,11.2,339.39,34,5,,,5,3,5,Đã có sổ đỏ,Đầy đủ
"Đường Hồ Tùng Mậu, Phường Mai Dịch, Cầu Giấy, Hà Nội",Phường Mai Dịch,Cầu Giấy,52,14.2,273.08,5,,,,,,,Đã có sổ đỏ,Đầy đủ
"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",Phường Nghĩa Đô,Cầu Giấy,14,30,209.79,12.5,,,,4,,,Đã có sổ đỏ,Đầy đủ
"Phố Hào Nam, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",Phường Ô Chợ Dừa,Đống Đa,37,5.85,158.11,3.8,,,,4,4,,Đã có sổ đỏ,
"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",Phường Xuân Đỉnh,Bắc Từ Liêm,98,22.7,231.63,6.2,2.5,,,7,2,2,Đã có sổ đỏ,Đầy đủ
"Xã Kim Nỗ, Đông Anh, Hà Nội",Xã Kim Nỗ,Đông Anh,60,4.6,,4,4,,,3,3,2,Đã có sổ đỏ,Đầy đủ
"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",Phường Xuân Đỉnh,Bắc Từ Liêm,10,19.5,195,6.2,2.5,,,7,2,2,Đã có sổ đỏ,Đầy đủ
"Xã Kim Nỗ, Đông Anh, Hà Nội",Xã Kim Nỗ,Đông Anh,60,4.6,,4,4,,,3,3,2,Đã có sổ đỏ,Đầy đủ
"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",Phường Xuân Đỉnh,Bắc Từ Liêm,10,19.5,195,6.2,2.5,,,7,2,2,Đã có sổ đỏ,Đầy đủ
"Đường Xuân La, Phường Xuân La, Tây Hồ, Hà Nội",Phường Xuân La,Tây Hồ,44,7.3,165.91,4.5,,,,1,1,1,Đã có sổ đỏ,Cơ bản
"Đường Phố Trạm, Phường Long Biên, Long Biên, Hà Nội",Phường Long Biên,Long Biên,11,15,136.36,6.5,3.5,Tây - Bắc,Tây - Bắc,8,4,3,Chưa sổ,"Full nội thất cao cấp, thiết bị vệ sinh nhập khẩu, công tắc ổ cắm Panasonic, điều hoà âm trần."
"Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Cầu Giấy, Hà Nội",Phường Quan Hoa,Cầu Giấy,45,9.4,208.89,3.9,,,,,,,Đã có sổ đỏ,Đầy đủ
"Đường Tư Đình, Phường Long Biên, Long Biên, Hà Nội",Phường Long Biên,Long Biên,44,6.7,152.27,,,,,4,4,,Đã có sổ đỏ,
"Đường La Dương, Phường Dương Nội, Hà Đông, Hà Nội",Phường Dương Nội,Hà Đông,50,14.7,294,4,,,,7,4,5,Đã có sổ đỏ,Đầy đủ.
"Đường Vũ Trọng Khánh, Phường Mỗ Lao, Hà Đông, Hà Nội",Phường Mỗ Lao,Hà Đông,76,35,460.53,6.5,,,,7,1,1,Đã có sổ đỏ,
"Đường Cổ Linh, Phường Thạch Bàn, Long Biên, Hà Nội",Phường Thạch Bàn,Long Biên,35,4.09,116.86,5,3,,,5,3,4,Chưa sổ,
"Trần Phú, Văn Quán, Hà Đông, Hà Nội",Văn Quán,Hà Đông,30,7.1,236.67,,,,,4,3,3,Đã có sổ đỏ,
"Ngõ 110, Đường Nguyễn Chính, Phường Tân Mai, Hoàng Mai, Hà Nội",Phường Tân Mai,Hoàng Mai,58,6.4,110.34,4,,,,4,,,Đã có sổ đỏ,
"Đường Hữu Hòa, Xã Hữu Hòa, Thanh Trì, Hà Nội",Xã Hữu Hòa,Thanh Trì,33,3.25,98.48,,,,,3,,,Đã có sổ đỏ,
"Phường Dịch Vọng, Cầu Giấy, Hà Nội",Phường Dịch Vọng,Cầu Giấy,50,9.5,190,,,,,4,,,Đã có sổ đỏ,Đầy đủ
"Phường Dịch Vọng, Cầu Giấy, Hà Nội",Phường Dịch Vọng,Cầu Giấy,55,11.25,204.54,5.65,4,,,3,3,3,Đã có sổ đỏ,Cơ bản
"Ngõ 163, Đường Phạm Văn Đồng, Phường Mai Dịch, Cầu Giấy, Hà Nội",Phường Mai Dịch,Cầu Giấy,31,6.3,203.23,4,,,,5,3,5,Đã có sổ đỏ,Chủ thiện chí tặng 100% nội thất.
"Phố Trần Quốc Hoàn, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",Phường Nghĩa Tân,Cầu Giấy,68,,,45,4,,,4,4,4,Đã có sổ đỏ,Đầy đủ
"Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",Phường Nghĩa Tân,Cầu Giấy,72,16.7,231.94,6,,,,5,,,Đã có sổ đỏ,
"Phố Đại Đồng, Phường Thanh Trì, Hoàng Mai, Hà Nội",Phường Thanh Trì,Hoàng Mai,50,5.5,110,4,,,,5,6,5,Đã có sổ đỏ,Đầy đủ
"Đường 70, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",Phường Đại Mỗ,Nam Từ Liêm,45,6.2,136.26,4.5,3,,,4,4,5,Đã có sổ đỏ,Cơ bản
"Xuân La, Xuân La, Tây Hồ, Hà Nội",Xuân La,Tây Hồ,60,16,266.67,,,,,6,,,Đã có sổ đỏ,
"Đường Quang Tiến, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",Phường Đại Mỗ,Nam Từ Liêm,36,6.5,180.56,4,3,,,6,,,Đã có sổ đỏ,
"Đường Quang Tiến, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",Phường Đại Mỗ,Nam Từ Liêm,50,7.5,150,4,,Đông - Nam,,4,4,4,Đã có sổ đỏ,Đầy đủ
"Đường Nguyễn Khánh Toàn, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Phường Dịch Vọng Hậu,Cầu Giấy,45,,,4,6,,,7,6,6,Đã có sổ đỏ,
Nhà ngõ phố Tôn Thất Tùng: Diện tích ít nhưng nhiều tầng; Tiền ít nhưng lợi ích sử dụng rất to...,Phường Khương Thượng,Đống Đa,25,4.14,165.56,3.1,3.6,,,5,4,5,Đã có sổ đỏ,Cơ bản
"Phố Hàng Chuối, Phường Phạm Đình Hổ, Hai Bà Trưng, Hà Nội",Phường Phạm Đình Hổ,Hai Bà Trưng,48,13.5,281.25,10,,,,4,,,Đã có sổ đỏ,
"Đường Lê Hồng Phong, Phường Nguyễn Trãi, Hà Đông, Hà Nội",Phường Nguyễn Trãi,Hà Đông,40,8.2,205,4,8,,,3,4,3,Đã có sổ đỏ,Cơ bản
"Đường Giang Văn Minh, Phường Đội Cấn, Ba Đình, Hà Nội",Phường Đội Cấn,Ba Đình,52,15.8,303.85,4,,,,4,3,4,Đã có sổ đỏ,Đầy đủ
"Đường Trương Định, Phường Giáp Bát, Hoàng Mai, Hà Nội",Phường Giáp Bát,Hoàng Mai,45,7.4,164.44,4.5,3,,,6,8,5,Đã có sổ đỏ,Đầy đủ.
"Đường Xuân Phương, Phường Xuân Phương, Nam Từ Liêm, Hà Nội",Phường Xuân Phương,Nam Từ Liêm,45,7.89,175.33,4,4,,,5,6,5,Đã có sổ đỏ,Đầy đủ
"Đường Nguyễn Lương Bằng, Phường Nam Đồng, Đống Đa, Hà Nội",Phường Nam Đồng,Đống Đa,48,13.9,289.58,5,5,,,7,5,5,Đã có sổ đỏ,Cơ bản
"Phố Phương Mai, Phường Kim Liên, Đống Đa, Hà Nội",Phường Kim Liên,Đống Đa,58,,217.24,4.8,4,,,4,5,5,Đã có sổ đỏ,Đầy đủ
"đường Liên Mạc, Phường Liên Mạc, Bắc Từ Liêm, Hà Nội",Phường Liên Mạc,Bắc Từ Liêm,36,4.45,123.61,,,,,5,,,Đã có sổ đỏ,
"Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",Phường Tây Mỗ,Nam Từ Liêm,61,6.6,108.2,4.7,,,,5,4,,Đã có sổ đỏ,
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",Phường Ngọc Thụy,Long Biên,60,15.4,256.67,4.5,9,,,6,3,4,Đã có sổ đỏ,
"Đường Tây Mỗ, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",Phường Tây Mỗ,Nam Từ Liêm,30,4.3,143.33,3,2,Đông - Bắc,Đông - Bắc,5,3,4,Đã có sổ đỏ,Cơ bản
"Số 19A ngõ 30, Đường Nguyễn Thị Định, Phường Trung Hòa, Cầu Giấy, Hà Nội",Phường Trung Hòa,Cầu Giấy,65,25,384.62,4.5,,Đông - Bắc,Đông - Bắc,6,1,8,Đã có sổ đỏ,Đầy đủ
"Đường Hồ Tùng Mậu, Phường Mai Dịch, Cầu Giấy, Hà Nội",Phường Mai Dịch,Cầu Giấy,74,18,243.24,4.5,,,,5,5,6,Đã có sổ đỏ,Đầy đủ
"Đường Bằng Liệt, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",Phường Hoàng Liệt,Hoàng Mai,30,5.6,186.67,4,3,Đông - Nam,,5,3,5,Đã có sổ đỏ,Cơ bản
Nhà ngõ 16 phố Thái Hà: Vừa ở vừa cho thuê! Một tên hai đích không nhà nào hơn!,Phường Trung Liệt,Đống Đa,90,16.79,186.54,6,1.6,,,5,6,6,Đã có sổ đỏ,Cơ bản
"Phố Tôn Đức Thắng, Phường Hàng Bột, Đống Đa, Hà Nội",Phường Hàng Bột,Đống Đa,58,13.8,237.93,6.5,,,,6,,,Đã có sổ đỏ,Đầy đủ
"Đường Nguyễn Lương Bằng, Phường Quang Trung, Đống Đa, Hà Nội",Phường Quang Trung,Đống Đa,58,13,224.14,,,,,7,,,Đã có sổ đỏ,Đầy đủ
"Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội",Phường Xuân La,Tây Hồ,52,7,134.62,3.5,,,,4,4,3,Đã có sổ đỏ,Đầy đủ
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",Phường Trung Liệt,Đống Đa,51,9.8,192.16,6.5,3,,,3,3,3,Đã có sổ đỏ,Cơ bản
"Đường Ái Mộ, Phường Ngọc Lâm, Long Biên, Hà Nội",Phường Ngọc Lâm,Long Biên,43,5.6,130.23,4.3,,,,4,3,3,Chưa sổ,
"Phố Trần Bình, Phường Mai Dịch, Cầu Giấy, Hà Nội",Phường Mai Dịch,Cầu Giấy,36,8.9,247.22,5,,,,6,5,6,Đã có sổ đỏ,
"Phố Trần Cung, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",Phường Cổ Nhuế 1,Bắc Từ Liêm,73,24.5,335.62,4.5,5,,,5,7,7,Đã có sổ đỏ,Đầy đủ
"Đường Tứ Liên, Phường Tứ Liên, Tây Hồ, Hà Nội",Phường Tứ Liên,Tây Hồ,67,15.4,229.85,5.1,,,,1,,,Đã có sổ đỏ,
"Đường Minh Khai, Phường Trương Định, Hai Bà Trưng, Hà Nội",Phường Trương Định,Hai Bà Trưng,35,4.3,122.86,6.6,3,,,2,2,,Đã có sổ đỏ,Cơ bản
"Đường Vương Thừa Vũ, Phường Khương Trung, Thanh Xuân, Hà Nội",Phường Khương Trung,Thanh Xuân,75,8.5,113.33,4.5,,,,5,4,4,Đã có sổ đỏ,
"Ngõ 347, Đường Cổ Nhuế, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",Phường Cổ Nhuế 2,Bắc Từ Liêm,36,5.6,155.56,3.2,,Tây - Nam,,5,5,4,Đã có sổ đỏ,Cơ bản
"Đường Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội",Phường Tân Mai,Hoàng Mai,28,5.6,200,3.5,2,,,5,3,3,Đã có sổ đỏ,Cơ bản
"Đường Giang Biên, Phường Giang Biên, Long Biên, Hà Nội",Phường Giang Biên,Long Biên,45,12.8,284.44,43,10,,,7,4,4,Đã có sổ đỏ,Toàn bộ nội thất nhập khẩu.
"Ngõ 89, Đường Phan Kế Bính, Phường Cống Vị, Ba Đình, Hà Nội",Phường Cống Vị,Ba Đình,36,6.95,193.06,3.5,,Đông - Nam,,4,4,3,Đã có sổ đỏ,
"Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",Phường Mỹ Đình 1,Nam Từ Liêm,45,7.25,161.11,,2.5,Bắc,Bắc,4,3,4,Đã có sổ đỏ,Đầy đủ
"Đường Âu Cơ, Phường Quảng An, Tây Hồ, Hà Nội",Phường Quảng An,Tây Hồ,33,5.6,169.7,3,3,,,4,4,5,Đã có sổ đỏ,Cơ bản
"Phố Phùng Chí Kiên, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",Phường Nghĩa Đô,Cầu Giấy,65,20.9,321.54,4,,,,6,,,Đã có sổ đỏ,Full.
"Phố Trung Liệt, Phường Trung Liệt, Đống Đa, Hà Nội",Phường Trung Liệt,Đống Đa,36,8.4,233.33,4.5,8,,,4,3,4,Đã có sổ đỏ,Cơ bản
"Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội",Phường Khương Mai,Thanh Xuân,44,7.4,168.18,,,,,5,4,5,Chưa sổ,
"Đường Định Công Thượng, Phường Định Công, Hoàng Mai, Hà Nội",Phường Định Công,Hoàng Mai,48,8.45,176.04,,,Tây - Bắc,Tây - Bắc,,9,9,Đã có sổ đỏ,Đầy đủ
"Đường Tô Hiệu, Phường Dương Nội, Hà Đông, Hà Nội",Phường Dương Nội,Hà Đông,48,9,187.5,4,6,Tây,Tây,5,,,Đã có sổ đỏ,Cơ bản
"Đường Tô Hiệu, Phường Dương Nội, Hà Đông, Hà Nội",Phường Dương Nội,Hà Đông,48,9,187.5,4,6,Tây,Tây,5,,,Đã có sổ đỏ,Cơ bản
"Ngõ 165, Phố Thái Hà, Phường Láng Hạ, Đống Đa, Hà Nội",Phường Láng Hạ,Đống Đa,35,13.8,394.29,3.4,,Đông - Nam,,5,6,4,Đã có sổ đỏ,Cơ bản
"Đường Đại Cát, Phường Liên Mạc, Bắc Từ Liêm, Hà Nội",Phường Liên Mạc,Bắc Từ Liêm,38,6.5,170.6,4.5,,,,5,5,5,Đã có sổ đỏ,Đầy đủ
"đường Liên Mạc, Phường Liên Mạc, Bắc Từ Liêm, Hà Nội",Phường Liên Mạc,Bắc Từ Liêm,44,5.7,129.54,6,,,,5,8,8,Đã có sổ đỏ,Cơ bản
"Ngõ 127, Đường Lạc Long Quân, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",Phường Nghĩa Tân,Cầu Giấy,50,15.7,314,12,,Nam,,5,6,6,Đã có sổ đỏ,Cơ bản
"Đường Phú Diễn, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",Phường Phú Diễn,Bắc Từ Liêm,45,7,155.56,3.5,3,,,5,6,5,Đã có sổ đỏ,Đầy đủ
"Ngõ 94, Đường Phú Thượng, Phường Phú Thượng, Tây Hồ, Hà Nội",Phường Phú Thượng,Tây Hồ,37,6.8,183.78,3,,,,4,4,3,Đã có sổ đỏ,
"Đường Ngọc Trục, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",Phường Đại Mỗ,Nam Từ Liêm,42,6.8,161.9,4.2,,,,5,6,5,Đã có sổ đỏ,Đầy đủ
"Đường Cổ Linh, Phường Long Biên, Long Biên, Hà Nội",Phường Long Biên,Long Biên,52,7,134.62,,,,,6,3,5,Đã có sổ đỏ,
"Đường Tố Hữu, Phường Dương Nội, Hà Đông, Hà Nội",Phường Dương Nội,Hà Đông,33,5,151.51,3.9,4,Đông,Đông,3,4,3,Đã có sổ đỏ,Cơ bản
"Phố Hào Nam, Phường Cát Linh, Đống Đa, Hà Nội",Phường Cát Linh,Đống Đa,50,8.7,174,5,3,,,5,,,Đã có sổ đỏ,Đầy đủ
"Phố Hào Nam, Phường Cát Linh, Đống Đa, Hà Nội",Phường Cát Linh,Đống Đa,35,7,200,4,2.5,,,6,,,Đã có sổ đỏ,
"Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội",Thị trấn Trâu Quỳ,Gia Lâm,45,3.5,77.78,,,,,3,,,Đã có sổ đỏ,
